Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Vertical_Next_Text,Vertical_Later_Text,Horizontal_Later_Text,Regression_Rate,Line_Regression_Rate,Saccade_Length,Element_Coverage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
147,5,vehicle_java2.jpg,Java,medium,0,B,0.7853107344632768,0.8587570621468926,0.536723163841808,0.2655367231638418,0.1299435028248587,82.20061424568146,0.2946428571428571,-44,-44,1,-67,-55,2
147,2,rectangle_java2.jpg,Java,medium,1,A,0.8207885304659498,0.8637992831541219,0.5806451612903226,0.2401433691756272,0.1075268817204301,60.32946528498725,0.2847222222222222,-122,-110,2,-135,-116,2
51,5,rectangle_java2.jpg,Java,medium,0,A,0.8620689655172413,0.8896551724137931,0.6344827586206897,0.193103448275862,0.0896551724137931,50.599162342539245,0.2291666666666666,-22,-22,1,-36,-36,1
51,2,vehicle_java2.jpg,Java,medium,0,B,0.7888888888888889,0.8555555555555555,0.5444444444444444,0.2222222222222222,0.0888888888888888,55.92242270911324,0.1875,-9,-9,1,-17,-17,1
178,5,vehicle_java2.jpg,Java,high,0,B,0.8,0.8625,0.5625,0.225,0.09375,60.80298787732565,0.25,-55,-55,1,-78,-78,1
178,2,rectangle_java2.jpg,Java,high,1,A,0.7887931034482759,0.8275862068965517,0.5732758620689655,0.2327586206896551,0.0646551724137931,72.94170022591499,0.2638888888888889,-96,-72,2,-95,-75,2
140,2,vehicle_java2.jpg,Java,high,0,B,0.7927927927927928,0.8423423423423423,0.5495495495495496,0.2342342342342342,0.081081081081081,56.939511179823015,0.2946428571428571,-85,-83,2,-108,-103,2
140,5,rectangle_java2.jpg,Java,high,0,A,0.8125,0.8359375,0.4921875,0.2734375,0.1171875,60.85434177534512,0.2291666666666666,-41,-41,1,-55,-55,1
56,5,rectangle_java2.jpg,Java,high,1,A,0.852112676056338,0.8943661971830986,0.676056338028169,0.2112676056338028,0.1126760563380281,65.32449523042997,0.2361111111111111,-15,-15,1,-38,-38,1
56,2,vehicle_java2.jpg,Java,high,1,B,0.7602739726027398,0.8287671232876712,0.5616438356164384,0.2602739726027397,0.0958904109589041,78.41650233663492,0.2232142857142857,-42,-42,1,-56,-56,1
69,2,rectangle_java2.jpg,Java,high,0,A,0.8274647887323944,0.8661971830985915,0.5704225352112676,0.2711267605633803,0.1408450704225352,75.70873216560265,0.2708333333333333,-104,-63,3,-87,-71,2
69,5,vehicle_java2.jpg,Java,high,0,B,0.8386075949367089,0.8892405063291139,0.6139240506329114,0.2151898734177215,0.1075949367088607,72.12097780660453,0.2589285714285714,-98,-55,4,-122,-82,3
176,5,vehicle_java2.jpg,Java,low,0,B,0.8823529411764706,0.9068627450980392,0.7058823529411765,0.142156862745098,0.0514705882352941,56.64701202977138,0.3035714285714285,-119,-60,2,-129,-98,2
176,2,rectangle_java2.jpg,Java,low,1,A,0.8432539682539683,0.878968253968254,0.6329365079365079,0.2123015873015873,0.0932539682539682,60.00086941480985,0.2916666666666667,-204,-113,4,-191,-151,3
60,5,rectangle_java2.jpg,Java,medium,1,A,0.8359375,0.875,0.59765625,0.2421875,0.12109375,70.30585601285483,0.2777777777777778,-90,-48,2,-84,-83,2
60,2,vehicle_java2.jpg,Java,medium,0,B,0.8431372549019608,0.8986928104575164,0.7091503267973857,0.1699346405228758,0.0718954248366013,68.42278670685013,0.3392857142857143,-54,-48,2,-77,-51,2
182,2,vehicle_java2.jpg,Java,medium,0,B,0.7475,0.835,0.5575,0.275,0.1125,90.1525923705296,0.3303571428571428,-184,-164,2,-195,-166,4
182,5,rectangle_java2.jpg,Java,medium,1,A,0.8285714285714286,0.8857142857142857,0.5857142857142857,0.2785714285714286,0.1678571428571428,79.91255014840165,0.2777777777777778,-78,-57,2,-78,-65,2
94,5,vehicle_java2.jpg,Java,medium,0,B,0.8161764705882353,0.8970588235294118,0.6764705882352942,0.1470588235294117,0.0514705882352941,66.69063997124668,0.2053571428571428,-22,13,2,-35,-21,2
94,2,rectangle_java2.jpg,Java,medium,0,A,0.8076923076923077,0.8769230769230769,0.6692307692307692,0.1769230769230769,0.0615384615384615,60.78045467152961,0.1944444444444444,-15,-15,1,-43,-43,1
185,2,rectangle_java2.jpg,Java,medium,1,A,0.8861788617886179,0.926829268292683,0.6991869918699187,0.1382113821138211,0.073170731707317,60.39976568153371,0.2152777777777778,8,8,1,-14,-14,1
93,2,vehicle_java.jpg,Java,none,0,B,0.6833333333333333,0.7833333333333333,0.55,0.25,0.05,92.89344455937363,0.1517857142857142,-23,-23,1,-24,-24,1
93,5,rectangle_java.jpg,Java,none,0,A,0.7764705882352941,0.8235294117647058,0.5058823529411764,0.2705882352941176,0.1058823529411764,63.073056612320855,0.1527777777777778,-13,-13,1,-26,-26,1
171,5,rectangle_java2.jpg,Java,medium,1,A,0.8662420382165605,0.910828025477707,0.6178343949044586,0.2484076433121019,0.1656050955414012,69.1337354206709,0.2569444444444444,-21,-21,1,-38,-38,1
171,2,vehicle_java2.jpg,Java,medium,0,B,0.8404255319148937,0.8900709219858156,0.6347517730496454,0.2163120567375886,0.1099290780141844,71.23961010026743,0.3303571428571428,-70,-52,2,-88,-55,2
67,2,rectangle_java2.jpg,Java,high,1,A,0.7707006369426752,0.8343949044585988,0.5222929936305732,0.2484076433121019,0.0891719745222929,77.2198372499921,0.2152777777777778,-80,-66,3,-81,-65,2
58,2,vehicle_java2.jpg,Java,medium,0,B,0.8193548387096774,0.8774193548387097,0.6451612903225806,0.1935483870967742,0.0774193548387096,63.8428932582497,0.2232142857142857,-21,-21,1,-36,-36,1
33,5,rectangle_java2.jpg,Java,high,1,A,0.6620689655172414,0.7793103448275862,0.4137931034482758,0.3241379310344827,0.1103448275862069,108.1447792078923,0.2291666666666666,-86,-48,3,-68,-62,2
33,2,vehicle_java2.jpg,Java,high,0,B,0.796875,0.875,0.5625,0.25390625,0.1328125,83.84124353716865,0.2946428571428571,-100,-91,3,-101,-88,3
125,2,rectangle_java.jpg,Java,medium,1,A,0.6636363636363637,0.7636363636363637,0.3545454545454545,0.3363636363636363,0.109090909090909,125.20176859586824,0.2083333333333333,-58,-51,2,-70,-70,1
34,5,rectangle_java2.jpg,Java,medium,0,A,0.8677685950413223,0.9049586776859504,0.6611570247933884,0.2314049586776859,0.140495867768595,58.006075424701024,0.2291666666666666,-37,-37,1,-63,-63,1
34,2,vehicle_java2.jpg,Java,medium,0,B,0.7696078431372549,0.8480392156862745,0.5686274509803921,0.25,0.1029411764705882,73.5029513979201,0.2678571428571428,-84,-66,2,-89,-78,3
114,5,vehicle_java2.jpg,Java,medium,0,B,0.7727272727272727,0.8863636363636364,0.6022727272727273,0.1704545454545454,0.0681818181818181,86.18947231682348,0.2232142857142857,1,1,1,-8,-8,1
66,2,vehicle_java2.jpg,Java,medium,0,B,0.7586206896551724,0.8620689655172413,0.5517241379310345,0.2068965517241379,0.0862068965517241,88.02478410129862,0.1964285714285714,0,0,1,-9,-9,1
66,5,rectangle_java2.jpg,Java,medium,1,A,0.7217391304347827,0.8,0.5043478260869565,0.3043478260869565,0.1130434782608695,66.40766797595258,0.1944444444444444,-31,-31,1,-49,-49,1
170,5,vehicle_java2.jpg,Java,medium,1,B,0.848297213622291,0.8854489164086687,0.6408668730650154,0.2074303405572755,0.0959752321981424,64.47983133076984,0.2678571428571428,-90,-72,2,-113,-92,2
59,2,vehicle_java.jpg,Java,medium,0,B,0.7801418439716312,0.8439716312056738,0.549645390070922,0.2836879432624113,0.1312056737588652,86.58978789409232,0.3035714285714285,-95,-81,2,-118,-87,3
183,2,vehicle_java2.jpg,Java,medium,1,B,0.7464285714285714,0.8357142857142857,0.5142857142857142,0.275,0.1142857142857142,72.67981845422958,0.3392857142857143,-134,-95,2,-151,-105,3
61,2,vehicle_java2.jpg,Java,medium,1,B,0.7942583732057417,0.8516746411483254,0.5358851674641149,0.2727272727272727,0.1291866028708134,74.74289000380826,0.25,-67,-55,2,-83,-75,2
61,5,rectangle_java2.jpg,Java,medium,1,A,0.7683284457478006,0.8269794721407625,0.5161290322580645,0.2668621700879765,0.0967741935483871,63.850223241265766,0.2708333333333333,-204,-129,4,-185,-149,4
1,2,vehicle_java.jpg,Java,high,0,B,0.7368421052631579,0.8421052631578947,0.5413533834586466,0.2030075187969924,0.0526315789473684,97.05975741866708,0.2321428571428571,-47,-27,2,-71,-53,2
57,2,rectangle_java2.jpg,Java,medium,1,A,0.8372093023255814,0.9069767441860463,0.5465116279069767,0.2674418604651162,0.1860465116279069,66.56537697853264,0.1666666666666666,-2,1,2,-13,-13,1
57,5,vehicle_java2.jpg,Java,medium,0,B,0.7513227513227513,0.8412698412698413,0.5291005291005291,0.2857142857142857,0.1322751322751322,81.36771409060628,0.2410714285714285,-62,-62,1,-83,-69,2
141,2,vehicle_java2.jpg,Java,low,0,B,0.8716814159292036,0.9026548672566372,0.6548672566371682,0.1902654867256637,0.0973451327433628,71.6719750937567,0.3214285714285714,-47,-1,2,-61,-41,2
68,5,vehicle_java2.jpg,Java,medium,1,B,0.8607594936708861,0.9113924050632912,0.6645569620253164,0.1962025316455696,0.1139240506329113,52.423658072450856,0.2321428571428571,-11,-11,1,-27,-27,1
68,2,rectangle_java2.jpg,Java,medium,0,A,0.8511627906976744,0.8837209302325582,0.6325581395348837,0.1953488372093023,0.0837209302325581,45.39095528456165,0.2569444444444444,-64,-64,1,-77,-76,2
50,2,vehicle_java2.jpg,Java,medium,0,B,0.68,0.7538461538461538,0.4523076923076923,0.3169230769230769,0.0738461538461538,71.99811803683848,0.2857142857142857,-252,-186,4,-257,-202,4
6,2,rectangle_java.jpg,Java,medium,1,A,0.859375,0.8984375,0.6796875,0.1796875,0.0859375,67.29326854073243,0.2291666666666666,-6,-6,1,-34,-34,1
6,5,vehicle_java.jpg,Java,medium,0,B,0.8309178743961353,0.8743961352657005,0.5845410628019324,0.2270531400966183,0.1062801932367149,72.94192706048834,0.25,-54,-47,2,-77,-77,1
179,5,rectangle_java2.jpg,Java,low,1,A,0.8591549295774648,0.8913480885311871,0.6257545271629779,0.2434607645875251,0.1368209255533199,62.68944518608714,0.2916666666666667,-158,-97,3,-151,-118,2
179,2,vehicle_java2.jpg,Java,low,0,B,0.8511749347258486,0.8929503916449086,0.618798955613577,0.2402088772845953,0.1357702349869451,61.97992314922178,0.3571428571428571,-109,-82,2,-132,-99,2
112,2,rectangle_java2.jpg,Java,medium,1,A,0.7657657657657657,0.8378378378378378,0.5,0.2882882882882883,0.1306306306306306,62.85380624926225,0.25,-111,-59,3,-97,-74,2
115,5,vehicle_java2.jpg,Java,medium,0,B,0.7177700348432056,0.8083623693379791,0.4982578397212543,0.2857142857142857,0.0975609756097561,82.55942506405172,0.3125,-164,-110,3,-157,-131,4
115,2,rectangle_java2.jpg,Java,medium,1,A,0.8402777777777778,0.8888888888888888,0.6111111111111112,0.2569444444444444,0.1527777777777778,68.51780797227433,0.2152777777777778,-22,-22,1,-49,-49,1
123,2,rectangle_java.jpg,Java,high,0,A,0.825136612021858,0.8743169398907104,0.6065573770491803,0.2513661202185792,0.1311475409836065,87.79445443668352,0.2361111111111111,-36,-13,2,-60,-60,1
35,2,rectangle_java2.jpg,Java,low,1,A,0.8304093567251462,0.8830409356725146,0.5730994152046783,0.2573099415204678,0.1461988304093567,77.60438247082523,0.2638888888888889,-19,-18,2,-36,-36,1
35,5,vehicle_java2.jpg,Java,low,0,B,0.7660377358490567,0.8528301886792453,0.5773584905660377,0.2566037735849056,0.1132075471698113,90.00627530040062,0.2946428571428571,-92,-78,2,-113,-93,2
124,5,rectangle_java2.jpg,Java,medium,1,A,0.7889908256880734,0.8256880733944955,0.5,0.2935779816513761,0.1238532110091743,65.87244982542873,0.2638888888888889,-92,-69,2,-106,-96,2
124,2,vehicle_java2.jpg,Java,medium,1,B,0.7719298245614035,0.8421052631578947,0.5929824561403508,0.2421052631578947,0.087719298245614,84.81706682230536,0.3035714285714285,-120,-102,2,-139,-115,3
32,2,rectangle_java2.jpg,Java,high,1,A,0.9071428571428573,0.9357142857142856,0.6928571428571428,0.1785714285714285,0.1214285714285714,63.55756240547343,0.2638888888888889,5,5,1,-31,-31,1
32,5,vehicle_java2.jpg,Java,high,0,B,0.8859649122807017,0.9342105263157896,0.7236842105263158,0.1491228070175438,0.087719298245614,58.04183087852598,0.2767857142857143,-19,-19,1,-35,-35,1
206,5,rectangle_java2.jpg,Java,low,0,A,0.7466666666666667,0.7973333333333333,0.512,0.2853333333333333,0.0853333333333333,61.41301739884666,0.2916666666666667,-230,-170,4,-223,-184,3
206,2,vehicle_java2.jpg,Java,low,0,B,0.8164794007490637,0.850187265917603,0.5805243445692884,0.2359550561797752,0.0898876404494382,59.50438068677456,0.2767857142857143,-97,-77,2,-119,-104,2
201,5,vehicle_java2.jpg,Java,medium,0,B,0.8723404255319149,0.925531914893617,0.6808510638297872,0.1276595744680851,0.0638297872340425,53.93896706247638,0.1696428571428571,10,10,1,-11,-11,1
201,2,rectangle_java2.jpg,Java,medium,1,A,0.8333333333333334,0.875,0.5666666666666667,0.2166666666666666,0.1,57.064211856010765,0.1944444444444444,-16,-16,1,-44,-44,1
208,5,rectangle_java2.jpg,Java,low,1,A,0.8206106870229007,0.8664122137404581,0.5877862595419847,0.2480916030534351,0.1183206106870229,55.67904678143764,0.25,-90,-78,2,-90,-88,2
200,2,vehicle_java.jpg,Java,low,1,B,0.7909604519774012,0.8813559322033898,0.5706214689265536,0.2372881355932203,0.1242937853107344,107.36686759460608,0.3035714285714285,-41,-40,2,-57,-52,2
200,5,rectangle_java.jpg,Java,low,1,A,0.7521739130434782,0.8173913043478261,0.5304347826086957,0.2826086956521739,0.1043478260869565,89.51071368055301,0.2291666666666666,-108,-96,3,-125,-121,2
207,2,vehicle_java2.jpg,Java,medium,0,B,0.8237082066869301,0.8814589665653495,0.6170212765957447,0.2310030395136778,0.1155015197568389,70.10104222552712,0.2857142857142857,-104,-104,1,-121,-112,2
207,5,rectangle_java2.jpg,Java,medium,1,A,0.7931034482758621,0.8352490421455939,0.578544061302682,0.2528735632183908,0.0919540229885057,73.36475704691009,0.2569444444444444,-112,-96,2,-111,-94,2
214,5,vehicle_java2.jpg,Java,medium,1,B,0.8134328358208955,0.8600746268656716,0.5970149253731343,0.2444029850746268,0.1063432835820895,66.99257995817112,0.3571428571428571,-238,-125,4,-243,-180,4
214,2,rectangle_java2.jpg,Java,medium,1,A,0.7368421052631579,0.8,0.4842105263157895,0.3263157894736842,0.1298245614035087,78.71663219370596,0.2569444444444444,-154,-112,3,-148,-118,3
212,2,rectangle_java2.jpg,Java,medium,0,A,0.7037037037037037,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.1172839506172839,60.7567849541461,0.2291666666666666,-88,-75,3,-93,-86,2
215,5,rectangle_java2.jpg,Java,medium,0,A,0.8315789473684211,0.8736842105263158,0.5789473684210527,0.2578947368421053,0.1368421052631579,74.0425376214087,0.2638888888888889,-50,-32,2,-55,-55,1
215,2,vehicle_java2.jpg,Java,medium,1,B,0.7558139534883721,0.8410852713178295,0.5891472868217055,0.2325581395348837,0.0775193798449612,93.73816132090644,0.25,-110,-82,3,-121,-98,3
106,2,vehicle_java2.jpg,Java,medium,0,B,0.7025641025641025,0.8,0.5333333333333333,0.2769230769230769,0.082051282051282,93.64532959412284,0.2589285714285714,-94,-71,2,-104,-89,2
10,5,vehicle_java.jpg,Java,medium,0,B,0.8444444444444444,0.8888888888888888,0.6370370370370371,0.1629629629629629,0.0592592592592592,80.04621546717414,0.25,-15,-15,1,-37,-37,1
139,5,vehicle_java2.jpg,Java,low,0,B,0.9017857142857144,0.9285714285714286,0.6517857142857143,0.1785714285714285,0.1160714285714285,64.92568160698232,0.2142857142857142,-2,-2,1,-10,-10,1
101,2,rectangle_java2.jpg,Java,medium,0,A,0.7911392405063291,0.8607594936708861,0.5316455696202531,0.240506329113924,0.1075949367088607,93.21855261952176,0.2708333333333333,-57,-11,2,-59,-59,1
101,5,vehicle_java2.jpg,Java,medium,1,B,0.8605990783410138,0.902073732718894,0.663594470046083,0.195852534562212,0.0990783410138248,66.01129745041683,0.3303571428571428,-338,-207,6,-343,-245,7
17,2,rectangle_java2.jpg,Java,medium,1,A,0.8036529680365296,0.8538812785388128,0.5616438356164384,0.2785388127853881,0.136986301369863,64.88709210305802,0.2361111111111111,-78,-78,1,-89,-89,1
17,5,vehicle_java2.jpg,Java,medium,0,B,0.7665505226480837,0.8571428571428571,0.5714285714285714,0.2369337979094076,0.0975609756097561,83.04189415106724,0.3214285714285714,-117,-78,2,-133,-89,3
28,2,rectangle_java2.jpg,Java,medium,1,A,0.8243727598566308,0.8817204301075269,0.6164874551971327,0.2580645161290322,0.1433691756272401,79.02083595779924,0.2986111111111111,-62,-38,3,-65,-63,2
28,5,vehicle_java2.jpg,Java,medium,0,B,0.9026548672566372,0.9380530973451328,0.6991150442477876,0.1858407079646017,0.1327433628318584,75.55092742567477,0.2232142857142857,11,11,1,-6,-6,1
21,5,vehicle_java2.jpg,Java,low,0,B,0.8107344632768362,0.867231638418079,0.5819209039548022,0.2429378531073446,0.1129943502824858,65.15209175488482,0.3035714285714285,-148,-89,2,-159,-126,2
21,2,rectangle_java2.jpg,Java,low,1,A,0.8706624605678234,0.8927444794952681,0.5678233438485805,0.2712933753943217,0.167192429022082,70.44287481191725,0.2777777777777778,-96,-37,2,-77,-64,2
108,5,rectangle_java2.jpg,Java,high,1,A,0.7806451612903226,0.8516129032258064,0.5935483870967742,0.2258064516129032,0.0838709677419354,69.42286016200327,0.2222222222222222,-50,-40,2,-53,-53,1
108,2,vehicle_java2.jpg,Java,high,0,B,0.7294117647058823,0.8117647058823529,0.5411764705882353,0.2352941176470588,0.0588235294117647,98.63424124892092,0.2232142857142857,-20,-20,1,-38,-38,1
26,2,vehicle_java2.jpg,Java,high,1,B,0.7679558011049724,0.8674033149171271,0.4751381215469613,0.2983425414364641,0.1712707182320442,97.9058679973834,0.2767857142857143,-56,-47,2,-77,-56,2
